linguagem,quantidade,percentual
Python,227,22.7
TypeScript,174,17.4
JavaScript,111,11.1
Go,76,7.6
Rust,58,5.8
C++,41,4.1
Java,41,4.1
Jupyter Notebook,24,2.4
C,21,2.1
Shell,20,2.0
Ruby,13,1.3
HTML,11,1.1
Swift,10,1.0
Kotlin,9,0.9
C#,8,0.8
CSS,8,0.8
Dart,6,0.6
Vue,6,0.6
Markdown,5,0.5
MDX,4,0.4
Clojure,4,0.4
PHP,4,0.4
Vim Script,3,0.3
Zig,3,0.3
Dockerfile,2,0.2
Scala,2,0.2
PowerShell,2,0.2
Makefile,2,0.2
Haskell,2,0.2
Astro,2,0.2
TeX,2,0.2
Batchfile,1,0.1
Blade,1,0.1
Roff,1,0.1
Assembly,1,0.1
Nunjucks,1,0.1
Julia,1,0.1
Lua,1,0.1
Svelte,1,0.1
LLVM,1,0.1
V,1,0.1
Elixir,1,0.1
Objective-C,1,0.1
(sem linguagem),87,8.7
