autor,nome_repositorio,estrelas,criado_em,atualizado_em,linguagem,prs_mergeadas,releases,issues_abertas,issues_fechadas
codecrafters-io,build-your-own-x,540519,2018-05-09T12:03:18Z,2026-08-17T22:28:17Z,Markdown,157,0,270,677
sindresorhus,awesome,496979,2014-07-11T13:42:37Z,2026-08-17T22:31:29Z,,700,0,16,352
public-apis,public-apis,463165,2016-03-20T23:49:42Z,2026-08-17T22:30:20Z,Python,2137,0,26,911
freeCodeCamp,freeCodeCamp,454206,2014-12-24T17:49:19Z,2026-08-17T22:08:52Z,TypeScript,29105,0,169,21904
EbookFoundation,free-programming-books,394630,2013-10-11T06:50:37Z,2026-08-17T21:39:41Z,Python,7421,0,38,1255
openclaw,openclaw,386557,2025-11-24T10:16:47Z,2026-08-17T22:29:56Z,TypeScript,25799,235,3455,43915
nilbuild,developer-roadmap,364742,2017-03-15T13:45:52Z,2026-08-17T22:18:47Z,TypeScript,4396,1,0,3184
donnemartin,system-design-primer,364453,2017-02-26T16:15:28Z,2026-08-17T22:29:24Z,Python,210,0,274,127
jwasham,coding-interview-university,359065,2016-06-06T02:34:12Z,2026-08-17T22:29:46Z,,415,0,81,455
vinta,awesome-python,314496,2014-06-27T21:00:06Z,2026-08-17T22:29:37Z,Python,741,0,0,0
awesome-selfhosted,awesome-selfhosted,313292,2015-06-01T02:33:17Z,2026-08-17T22:31:23Z,,0,1,0,0
practical-tutorials,project-based-learning,279622,2017-04-12T05:07:46Z,2026-08-17T22:26:18Z,Python,194,0,151,88
996icu,996.ICU,276679,2019-03-26T07:31:14Z,2026-08-17T21:34:45Z,,1072,0,0,0
obra,superpowers,273192,2025-10-09T19:45:18Z,2026-08-17T22:27:38Z,Shell,167,12,156,695
react,react,247337,2013-05-24T16:15:54Z,2026-08-17T22:20:23Z,JavaScript,13034,132,816,13801
torvalds,linux,243037,2011-09-04T22:48:12Z,2026-08-17T22:26:17Z,C,0,0,0,0
affaan-m,ECC,240692,2026-01-18T00:51:51Z,2026-08-17T22:32:20Z,JavaScript,997,15,42,667
trimstray,the-book-of-secret-knowledge,238854,2018-06-23T10:43:14Z,2026-08-17T22:31:22Z,,122,0,0,0
NousResearch,hermes-agent,231994,2025-07-22T22:22:28Z,2026-08-17T22:31:03Z,Python,11069,27,10984,11209
TheAlgorithms,Python,223819,2016-07-16T09:44:01Z,2026-08-17T22:18:38Z,Python,3088,0,143,1606
mattpocock,skills,220278,2026-02-03T11:15:53Z,2026-08-17T22:27:56Z,Shell,90,7,353,304
vuejs,vue,210189,2013-07-29T03:24:51Z,2026-08-17T21:45:11Z,TypeScript,1136,249,365,9670
ossu,computer-science,208087,2014-05-04T00:18:39Z,2026-08-17T22:08:10Z,HTML,315,0,17,658
