full_name,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,html_url
codecrafters-io/build-your-own-x,538819,50878,623,Markdown,2018-05-09T12:03:18Z,2026-08-11T23:58:31Z,https://github.com/codecrafters-io/build-your-own-x
sindresorhus/awesome,494624,36330,100,,2014-07-11T13:42:37Z,2026-08-12T00:09:04Z,https://github.com/sindresorhus/awesome
public-apis/public-apis,455507,50232,1627,Python,2016-03-20T23:49:42Z,2026-08-11T23:50:04Z,https://github.com/public-apis/public-apis
freeCodeCamp/freeCodeCamp,453823,45940,275,TypeScript,2014-12-24T17:49:19Z,2026-08-12T00:05:44Z,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation/free-programming-books,394169,66643,78,Python,2013-10-11T06:50:37Z,2026-08-11T23:13:21Z,https://github.com/EbookFoundation/free-programming-books
openclaw/openclaw,385959,81121,5628,TypeScript,2025-11-24T10:16:47Z,2026-08-12T00:12:06Z,https://github.com/openclaw/openclaw
nilbuild/developer-roadmap,364174,44765,10,TypeScript,2017-03-15T13:45:52Z,2026-08-11T23:33:19Z,https://github.com/nilbuild/developer-roadmap
donnemartin/system-design-primer,363213,57765,601,Python,2017-02-26T16:15:28Z,2026-08-12T00:11:55Z,https://github.com/donnemartin/system-design-primer
jwasham/coding-interview-university,358405,84599,124,,2016-06-06T02:34:12Z,2026-08-11T23:34:39Z,https://github.com/jwasham/coding-interview-university
vinta/awesome-python,313457,28509,24,Python,2014-06-27T21:00:06Z,2026-08-12T00:07:45Z,https://github.com/vinta/awesome-python
awesome-selfhosted/awesome-selfhosted,312062,14635,0,,2015-06-01T02:33:17Z,2026-08-12T00:09:51Z,https://github.com/awesome-selfhosted/awesome-selfhosted
practical-tutorials/project-based-learning,278433,35778,268,Python,2017-04-12T05:07:46Z,2026-08-12T00:10:35Z,https://github.com/practical-tutorials/project-based-learning
996icu/996.ICU,276618,20763,16695,,2019-03-26T07:31:14Z,2026-08-11T17:18:50Z,https://github.com/996icu/996.ICU
obra/superpowers,270748,24189,336,Shell,2025-10-09T19:45:18Z,2026-08-12T00:11:58Z,https://github.com/obra/superpowers
react/react,247167,51215,1249,JavaScript,2013-05-24T16:15:54Z,2026-08-11T23:55:03Z,https://github.com/react/react
torvalds/linux,242522,63862,3,C,2011-09-04T22:48:12Z,2026-08-12T00:05:58Z,https://github.com/torvalds/linux
affaan-m/ECC,239480,36359,121,JavaScript,2026-01-18T00:51:51Z,2026-08-11T23:57:21Z,https://github.com/affaan-m/ECC
trimstray/the-book-of-secret-knowledge,237859,14081,164,,2018-06-23T10:43:14Z,2026-08-11T23:59:30Z,https://github.com/trimstray/the-book-of-secret-knowledge
NousResearch/hermes-agent,229022,45139,31089,Python,2025-07-22T22:22:28Z,2026-08-12T00:10:45Z,https://github.com/NousResearch/hermes-agent
TheAlgorithms/Python,223662,50960,1023,Python,2016-07-16T09:44:01Z,2026-08-11T23:30:03Z,https://github.com/TheAlgorithms/Python
mattpocock/skills,213804,18454,321,Shell,2026-02-03T11:15:53Z,2026-08-12T00:10:15Z,https://github.com/mattpocock/skills
vuejs/vue,210226,33774,637,TypeScript,2013-07-29T03:24:51Z,2026-08-11T23:34:55Z,https://github.com/vuejs/vue
ossu/computer-science,207891,25745,23,HTML,2014-05-04T00:18:39Z,2026-08-12T00:10:07Z,https://github.com/ossu/computer-science
multica-ai/andrej-karpathy-skills,201597,20692,126,,2026-01-27T03:53:13Z,2026-08-11T23:59:46Z,https://github.com/multica-ai/andrej-karpathy-skills
n8n-io/n8n,200262,60083,1296,TypeScript,2019-06-22T09:24:21Z,2026-08-12T00:05:14Z,https://github.com/n8n-io/n8n
tensorflow/tensorflow,196955,75990,2835,C++,2015-11-07T01:19:20Z,2026-08-12T00:05:43Z,https://github.com/tensorflow/tensorflow
trekhleb/javascript-algorithms,196435,31038,403,JavaScript,2018-03-24T07:47:04Z,2026-08-11T23:45:03Z,https://github.com/trekhleb/javascript-algorithms
anomalyco/opencode,196219,25181,5079,TypeScript,2025-04-30T20:08:00Z,2026-08-12T00:10:01Z,https://github.com/anomalyco/opencode
ultraworkers/claw-code,195046,109200,37,Rust,2026-03-31T08:58:08Z,2026-08-11T23:58:00Z,https://github.com/ultraworkers/claw-code
DigitalPlatDev/FreeDomain,192268,4084,37,,2024-05-30T13:23:00Z,2026-08-12T00:11:54Z,https://github.com/DigitalPlatDev/FreeDomain
ohmyzsh/ohmyzsh,189114,26581,569,Shell,2009-08-28T18:15:37Z,2026-08-11T22:46:17Z,https://github.com/ohmyzsh/ohmyzsh
microsoft/vscode,188604,41568,19769,TypeScript,2015-09-03T20:23:38Z,2026-08-11T23:51:09Z,https://github.com/microsoft/vscode
massgravel/Microsoft-Activation-Scripts,186730,17864,3,Batchfile,2020-01-12T23:03:34Z,2026-08-12T00:08:40Z,https://github.com/massgravel/Microsoft-Activation-Scripts
Significant-Gravitas/AutoGPT,186529,46085,507,Python,2023-03-16T09:21:07Z,2026-08-11T23:34:41Z,https://github.com/Significant-Gravitas/AutoGPT
jackfrued/Python-100-Days,185105,55698,705,Jupyter Notebook,2018-03-01T16:05:52Z,2026-08-11T21:47:11Z,https://github.com/jackfrued/Python-100-Days
